taxon	marker1	marker2	marker3	marker4	marker5	marker6	marker7	marker8	marker9	marker10	marker11	marker12	marker13	marker14	marker15	marker16	marker17	marker18	marker19	marker20	marker21	marker22	marker23	marker24	marker25	marker26	marker27	marker28	marker29	marker30	marker31	marker32	marker33	marker34	marker35	marker36	marker37	marker38	marker39	marker40	marker41	marker42	marker43	marker44	marker45	marker46	marker47	marker48	marker49	marker50	marker51	marker52	marker53	marker54	marker55	marker56	marker57	marker58	marker59	marker60	marker61	marker62	marker63	marker64	marker65	marker66	marker67	marker68	marker69	marker70	marker71	marker72	marker73	marker74	marker75	marker76	marker77	marker78	marker79	marker80	marker81	marker82	marker83	marker84	marker85	marker86	marker87	marker88	marker89	marker90	marker91	marker92	marker93	marker94	marker95	marker96	marker97	marker98	marker99	marker100	marker101	marker102	marker103	marker104	marker105	marker106	marker107	marker108	marker109	marker110	marker111	marker112	marker113	marker114	marker115	marker116	marker117	marker118	marker119	marker120	marker121	marker122	marker123	marker124	marker125	marker126	marker127	marker128	marker129	marker130	marker131	marker132	marker133	marker134	marker135	marker136	marker137	marker138	marker139	marker140	marker141	marker142	marker143	marker144	marker145	marker146	marker147	marker148	marker149	marker150	marker151	marker152	marker153	marker154	marker155	marker156	marker157	marker158	marker159	marker160	marker161	marker162	marker163	marker164	marker165	marker166	marker167	marker168	marker169	marker170	marker171	marker172	marker173	marker174	marker175	marker176	marker177	marker178	marker179	marker180	marker181	marker182	marker183	marker184	marker185	marker186	marker187	marker188	marker189	marker190	marker191	marker192	marker193	marker194	marker195	marker196	marker197	marker198	marker199	marker200	marker201	marker202	marker203	marker204	marker205	marker206	marker207	marker208	marker209	marker210	marker211	marker212	marker213	marker214	marker215	marker216	marker217	marker218	marker219	marker220	marker221	marker222	marker223	marker224	marker225	marker226	marker227	marker228	marker229	marker230	marker231	marker232	marker233	marker234	marker235	marker236	marker237	marker238	marker239	marker240	marker241	marker242	marker243	marker244	marker245	marker246	marker247	marker248	marker249	marker250	marker251	marker252	marker253	marker254	marker255	marker256	marker257	marker258	marker259	marker260	marker261	marker262	marker263	marker264	marker265	marker266	marker267	marker268	marker269	marker270	marker271	marker272	marker273	marker274	marker275	marker276	marker277	marker278	marker279	marker280	marker281	marker282	marker283	marker284	marker285	marker286	marker287	marker288	marker289	marker290	
# marker131 cluster seed: JN103441, description: Rhinopithecus bieti chromosome 1 marker chr1-4 genomic sequence.
# marker132 cluster seed: AY065877, description: Cebus capucinus isolate S064 ATP synthase 8 and ATP synthase 6 genes, complete cds; mitochondrial genes for mitochondrial products.
# marker133 cluster seed: JN103782, description: Trachypithecus germaini chromosome 12 marker chr12-1 genomic sequence.
# marker134 cluster seed: JN103855, description: Trachypithecus shortridgei chromosome 17 marker chr17-4 genomic sequence.
# marker135 cluster seed: JN103512, description: Trachypithecus shortridgei chromosome 3 marker chr3-5 genomic sequence.
# marker136 cluster seed: JN103871, description: Trachypithecus hatinhensis chromosome 17 marker chr17-8 genomic sequence.
# marker137 cluster seed: JN103472, description: Rhinopithecus bieti chromosome 2 marker chr2-1 genomic sequence.
# marker138 cluster seed: JN103481, description: Trachypithecus vetulus chromosome 2 marker chr2-8 genomic sequence.
# marker139 cluster seed: AF284232, description: Trachypithecus cristatus testis-specific protein (TSPY) gene, partial cds.
# marker140 cluster seed: EU333242, description: Eulemur macaco macaco isolate JP83 tRNA-Thr gene, partial sequence; tRNA-Pro gene, complete sequence; and D-loop, partial sequence; mitochondrial.
# marker141 cluster seed: JN103720, description: Rhinopithecus avunculus chromosome X marker marker X37 genomic sequence.
# marker142 cluster seed: JN103803, description: Rhinopithecus bieti chromosome 13 marker chr13-3 genomic sequence.
# marker143 cluster seed: JN103677, description: Trachypithecus johnii chromosome 10 marker chr10-5 genomic sequence.
# marker144 cluster seed: JN103842, description: Rhinopithecus bieti chromosome 15 marker chr15-3 genomic sequence.
# marker145 cluster seed: JN103745, description: Trachypithecus hatinhensis chromosome X marker marker X61 genomic sequence.
# marker146 cluster seed: JN103716, description: Trachypithecus hatinhensis chromosome X marker marker X5 genomic sequence.
# marker147 cluster seed: JN103926, description: Rhinopithecus avunculus chromosome 20 marker chr20-4 genomic sequence.
# marker148 cluster seed: JN103494, description: Trachypithecus germaini chromosome 3 marker chr3-2 genomic sequence.
# marker149 cluster seed: JN103911, description: Trachypithecus johnii chromosome 19 marker chr19-5 genomic sequence.
# marker150 cluster seed: JN103833, description: Trachypithecus germaini chromosome 15 marker chr15-1 genomic sequence.
# marker151 cluster seed: JN103547, description: Trachypithecus vetulus chromosome 4 marker chr4-7 genomic sequence.
# marker152 cluster seed: AF475895, description: Varecia variegata variegata isolate RANO322B mitochondrial D-loop, partial sequence.
# marker153 cluster seed: AY012131, description: Tarsius bancanus 12S ribosomal RNA gene, partial sequence; and tRNA-Val gene, complete sequence; mitochondrial genes for mitochondrial products.
# marker154 cluster seed: HM756837, description: Alouatta sara isolate ASA-1 ZIC3 gene, partial sequence.
# marker155 cluster seed: AH012128, description: Callithrix geoffroyi 556nm X-linked opsin gene, partial cds.
# marker156 cluster seed: HM760070, description: Alouatta belzebul isolate ABE-1 NPAS3 gene, partial sequence.
# marker157 cluster seed: HM764103, description: Alouatta sara isolate ASA-1 BCHE gene, partial sequence.
# marker158 cluster seed: GQ334705, description: Trachypithecus vetulus pancreatic ribonuclease (RNASE1B) gene, complete cds.
# marker159 cluster seed: HM760748, description: Tarsius bancanus isolate TBA-1 MAPKAP1 gene, partial sequence.
# marker160 cluster seed: AF353034, description: Macaca assamensis clone B648-1 natural resistance-associated macrophage protein 1 (NRAMP1) gene, partial cds.
# marker161 cluster seed: HM761222, description: Cercocebus chrysogaster isolate CAC-1 KCNMA1 gene, partial sequence.
# marker162 cluster seed: HM758763, description: Macaca siberu isolate MSE-1 RPGRIP1 gene, partial sequence.
# marker163 cluster seed: HM765013, description: Nycticebus pygmaeus isolate NPY-1 AFF2 gene, partial sequence.
# marker164 cluster seed: HM761500, description: Arctocebus calabarensis isolate ACL-1 FOXP1 gene, partial sequence.
# marker165 cluster seed: AF032071, description: Pithecia irrorata beta-2-microglobulin precursor, gene, exon 1.
# marker166 cluster seed: HM758911, description: Brachyteles arachnoides isolate BAR-1 RAG2 gene, partial sequence.
# marker167 cluster seed: HM761985, description: Lepilemur septentrionalis isolate LSP-1 FBN1 gene, partial sequence.
# marker168 cluster seed: HM765107, description: Macaca maura isolate MCA-1 ADORA3 gene, partial sequence.
# marker169 cluster seed: JN103521, description: Trachypithecus germaini chromosome 4 marker chr4-2 genomic sequence.
# marker170 cluster seed: JN103602, description: Rhinopithecus bieti chromosome 7 marker chr7-6 genomic sequence.
# marker171 cluster seed: JN103902, description: Trachypithecus johnii chromosome 19 marker chr19-1 genomic sequence.
# marker172 cluster seed: JN104003, description: Rhinopithecus avunculus chromosome 21 marker ENC25 genomic sequence.
# marker173 cluster seed: JN103626, description: Trachypithecus germaini chromosome 8 marker chr8-2 genomic sequence.
# marker174 cluster seed: JN103615, description: Trachypithecus germaini chromosome 8 marker chr8-1 genomic sequence.
# marker175 cluster seed: JN103638, description: Rhinopithecus bieti chromosome 9 marker chr9-5 genomic sequence.
# marker176 cluster seed: JN103681, description: Trachypithecus germaini chromosome 11 marker chr11-2 genomic sequence.
# marker177 cluster seed: JN103457, description: Trachypithecus hatinhensis chromosome 1 marker chr1-6 genomic sequence.
# marker178 cluster seed: JN103651, description: Trachypithecus germaini chromosome 10 marker chr10-1 genomic sequence.
# marker179 cluster seed: JN103986, description: Rhinopithecus bieti chromosome 14 marker ENC15 genomic sequence.
# marker180 cluster seed: HM761823, description: Lepilemur dorsalis isolate LDO-1 FES gene, partial sequence.
# marker181 cluster seed: AF028505, description: Cebus olivaceus glucose-6-phosphate dehydrogenase (G6PD) gene, intron 5.
# marker182 cluster seed: HM763279, description: Cebus xanthosternos isolate CXA-1 CNR1 gene, partial sequence.
# marker183 cluster seed: HM756996, description: Alouatta belzebul isolate ABE-1 ZFY gene, partial sequence.
# marker184 cluster seed: HM761642, description: Saguinus geoffroyi isolate SGE-3 FOXP1 gene, partial sequence.
# marker185 cluster seed: HM762130, description: Callicebus donacophilus isolate CDO-1 FAM123B gene, partial sequence.
# marker186 cluster seed: EU057406, description: Eulemur fulvus sanfordi sterol regulatory element-binding transcription factor (SREBF2) gene, partial sequence.
# marker187 cluster seed: HM758393, description: Nycticebus bengalensis isolate NBE-1 SIM1 gene, partial sequence.
# marker188 cluster seed: HM764090, description: Callithrix penicillata isolate CPE-10 BCHE gene, partial sequence.
# marker189 cluster seed: EU580066, description: Procolobus badius kirkii isolate Pkir68 NADH dehydrogenase subunit 3 (NADH3) gene, complete cds; tRNA-Arg gene, complete sequence; NADH dehydrogenase subunit 4L (NADH4L) and NADH dehydrogenase subunit 4L (NADH4) genes, complete cds; tRNA-His, tRNA-Ser, and tRNA-Leu genes, complete sequence; and NADH dehydrogenase subunit 5 (NADH5) gene, complete cds; mitochondrial.
# marker190 cluster seed: HM761009, description: Alouatta palliata isolate APL-1 LRPPRC_171 gene, partial sequence.
# marker191 cluster seed: HM763242, description: Brachyteles hypoxanthus isolate BHY-1 CNR1 gene, partial sequence.
# marker192 cluster seed: HM763274, description: Cacajao melanocephalus isolate CAM-1 CNR1 gene, partial sequence.
# marker193 cluster seed: HM759238, description: Hylobates muelleri isolate HMU-6 DENND5A gene, partial sequence.
# marker194 cluster seed: HM758472, description: Ateles belzebuth hybridus isolate AHY-1 SGMS1 gene, partial sequence.
# marker195 cluster seed: HM765039, description: Saguinus bicolor isolate SBI-1 AFF2 gene, partial sequence.
# marker196 cluster seed: HQ005472, description: Aotus azarai boliviensis isolate 17954 cytochrome oxidase subunit 1 (CO1) gene, complete cds; tRNA-Ser and tRNA-Asp genes, complete sequence; and cytochrome oxidase subunit 2 (CO2) gene, complete cds; mitochondrial.
# marker197 cluster seed: EU580046, description: Colobus angolensis isolate Cang01 NADH dehydrogenase subunit 3 (NADH3) gene, complete cds; tRNA-Arg gene, complete sequence; NADH dehydrogenase subunit 4L (NADH4L) and NADH dehydrogenase subunit 4L (NADH4) genes, complete cds; tRNA-His, tRNA-Ser, and tRNA-Leu genes, complete sequence; and NADH dehydrogenase subunit 5 (NADH5) gene, complete cds; mitochondrial.
# marker198 cluster seed: HM764585, description: Macaca siberu isolate MSE-1 APP gene, partial sequence.
# marker199 cluster seed: AY043335, description: Eulemur coronatus 12S ribosomal RNA gene, partial sequence; mitochondrial gene for mitochondrial product.
# marker200 cluster seed: HM756863, description: Saguinus mystax isolate SMY-3 ZIC3 gene, partial sequence.
# marker201 cluster seed: HM761379, description: Nycticebus bengalensis isolate NBE-1 GHR gene, partial sequence.
# marker202 cluster seed: HM763986, description: Callithrix penicillata isolate CPE-10 BCOR gene, partial sequence.
# marker203 cluster seed: HM759952, description: Eulemur fulvus albifrons isolate EFL-7 NPAS3.2 gene, partial sequence.
# marker204 cluster seed: HM757251, description: Saguinus bicolor isolate SBI-1 UTY gene, partial sequence.
# marker205 cluster seed: HM761961, description: Tarsius bancanus isolate TBA-1 FBN1 gene, partial sequence.
# marker206 cluster seed: HM125573, description: Rhinopithecus bieti leptin precursor (OB) mRNA, complete cds.
# marker207 cluster seed: HM763100, description: Lophocebus aterrimus isolate LAT-2 CREM gene, partial sequence.
# marker208 cluster seed: HM758288, description: Alouatta belzebul isolate ABE-1 SIM1 gene, partial sequence.
# marker209 cluster seed: JN103562, description: Rhinopithecus bieti chromosome 5 marker chr5-8 genomic sequence.
# marker210 cluster seed: AY205130, description: Ateles paniscus isolate 3 melanocortin-1 receptor (MC1R) gene, complete cds.
# marker211 cluster seed: HM759446, description: Lagothrix cana isolate LAC-2 POLA1 gene, partial sequence.
# marker212 cluster seed: HM759904, description: Brachyteles arachnoides isolate BAR-1 NPAS3.2 gene, partial sequence.
# marker213 cluster seed: AF032062, description: Callicebus personatus nigrifrons beta-2-microglobulin precursor, gene, exon 1.
# marker214 cluster seed: HM759416, description: Callithrix penicillata isolate CPE-10 POLA1 gene, partial sequence.
# marker215 cluster seed: EU057465, description: Eulemur macaco flavifrons cytomatrix protein p110 gene, partial sequence.
# marker216 cluster seed: HM764347, description: Saimiri oerstedii oerstedii isolate SOO-1 AXIN1 gene, partial sequence.
# marker217 cluster seed: HM761047, description: Propithecus tattersalli isolate PTA-1 LRPPRC_171 gene, partial sequence.
# marker218 cluster seed: JN103992, description: Trachypithecus johnii chromosome 16 marker ENC19 genomic sequence.
# marker219 cluster seed: HM763307, description: Propithecus diadema isolate PDI-2 CNR1 gene, partial sequence.
# marker220 cluster seed: HM764822, description: Ateles belzebuth hybridus isolate AHY-1 AFF2.2 gene, partial sequence.
# marker221 cluster seed: HM762323, description: Lagothrix cana isolate LAC-2 ERC2 gene, partial sequence.
# marker222 cluster seed: HM763439, description: Ateles belzebuth hybridus isolate AHY-1 CHRNA1 gene, partial sequence.
# marker223 cluster seed: AY897396, description: Euoticus elegantulus voucher AMNH107154 12S ribosomal RNA gene, partial sequence; mitochondrial.
# marker224 cluster seed: HM762246, description: Callithrix penicillata isolate CPE-10 ERC2 gene, partial sequence.
# marker225 cluster seed: HM762410, description: Brachyteles hypoxanthus isolate BHY-1 EDG1 gene, partial sequence.
# marker226 cluster seed: HM763720, description: Alouatta palliata isolate APL-1 BRCA2 gene, partial sequence.
# marker227 cluster seed: HM759776, description: Pithecia irrorata isolate PIR-1 PLCB4 gene, partial sequence.
# marker228 cluster seed: HM764368, description: Eulemur macaco flavifrons isolate EMC-5 AXIN1 gene, partial sequence.
# marker229 cluster seed: HM760147, description: Hapalemur occidentalis isolate HOC-1 NPAS3 gene, partial sequence.
# marker230 cluster seed: HM761133, description: Lagothrix cana isolate LAC-2 LRPPRC_169 gene, partial sequence.
# marker231 cluster seed: HM762784, description: Cebus xanthosternos isolate CXA-1 DCTN2 gene, partial sequence.
# marker232 cluster seed: GQ334696, description: Rhinopithecus bieti pancreatic ribonuclease (RNASE1B) gene, complete cds.
# marker233 cluster seed: AF032075, description: Chiropotes satanas beta-2-microglobulin precursor, gene, exons 2 and 3 and complete cds.
# marker234 cluster seed: HM763856, description: Chiropotes chiropotes isolate CSA-2 BDNF gene, partial sequence.
# marker235 cluster seed: HM757244, description: Ateles belzebuth hybridus isolate AHY-1 UTY gene, partial sequence.
# marker236 cluster seed: HM761779, description: Ateles paniscus isolate APC-1 FES gene, partial sequence.
# marker237 cluster seed: HM764460, description: Lagothrix cana isolate LAC-2 ATXN7 gene, partial sequence.
# marker238 cluster seed: HM761485, description: Saguinus geoffroyi isolate SGE-3 GHR gene, partial sequence.
# marker239 cluster seed: AB623013, description: Macaca fuscata fuscata tas2r38 gene for bitter taste receptor TAS2R38, complete cds, haplotype: Mff-B.
# marker240 cluster seed: HM764139, description: Propithecus verreauxi isolate PVE-1 BCHE gene, partial sequence.
# marker241 cluster seed: HM760108, description: Callicebus donacophilus isolate CDO-1 NPAS3 gene, partial sequence.
# marker242 cluster seed: HM757151, description: Callicebus donacophilus isolate CDO-1 ZFX gene, partial sequence.
# marker243 cluster seed: HM760284, description: Callicebus donacophilus isolate CDO-1 NEGR1 gene, partial sequence.
# marker244 cluster seed: HM759658, description: Cebus capucinus isolate CCP-3 PNOC gene, partial sequence.
# marker245 cluster seed: HM764119, description: Cebus xanthosternos isolate CXA-1 BCHE gene, partial sequence.
# marker246 cluster seed: JF938345, description: Saguinus martinsi isolate 262 integrin alpha 4 (ITGA4) gene, exon 6 and partial cds.
# marker247 cluster seed: HM071248, description: Macaca hecki isolate 1014 UTX protein (UTX) gene, partial cds.
# marker248 cluster seed: AY224290, description: Macaca hecki 1 IRBP (IRBP) gene, intron 3 and partial cds.
# marker249 cluster seed: HM758806, description: Saguinus geoffroyi isolate SGE-3 RPGRIP1 gene, partial sequence.
# marker250 cluster seed: HM759993, description: Macaca ochreata isolate MOC-1 NPAS3.2 gene, partial sequence.
# marker251 cluster seed: HM757316, description: Macaca siberu isolate MSE-1 USH2A gene, partial sequence.
# marker252 cluster seed: HM761508, description: Allenopithecus nigroviridis isolate ANI-1 FOXP1 gene, partial sequence.
# marker253 cluster seed: AY224366, description: Macaca sinica 985 C4 gene, exon 9 and partial cds; and endogenous retrovirus ERV-K(C4), partial sequence.
# marker254 cluster seed: AY532315, description: Macaca assamensis isolate 3plus1 thymidylate synthase (TSER) gene, enhancer region.
# marker255 cluster seed: HM763167, description: Cercocebus chrysogaster isolate CCY-1 CNR1 gene, partial sequence.
# marker256 cluster seed: HM759720, description: Semnopithecus entellus entellus isolate SEE-1 PLCB4 gene, partial sequence.
# marker257 cluster seed: HM758058, description: Rhinopithecus brelichi isolate RBR-1 KDM5D gene, partial sequence.
# marker258 cluster seed: HM756796, description: Rhinopithecus brelichi isolate RBR-1 ZIC3 gene, partial sequence.
# marker259 cluster seed: HM760282, description: Cercocebus chrysogaster isolate CCY-1 NEGR1 gene, partial sequence.
# marker260 cluster seed: HM757400, description: Saguinus geoffroyi isolate SGE-3 USH2A gene, partial sequence.
# marker261 cluster seed: HM760933, description: Cercopithecus mitis isolate CMT-1 LRPPRC_171 gene, partial sequence.
# marker262 cluster seed: HM757773, description: Cercopithecus diana isolate CDA-3 TEX2 gene, partial sequence.
# marker263 cluster seed: HM764158, description: Macaca maura isolate MCA-1 BCHE gene, partial sequence.
# marker264 cluster seed: DQ520718, description: Colobus angolensis ZFX gene, intron.
# marker265 cluster seed: HQ005472, description: Aotus azarai boliviensis isolate 17954 cytochrome oxidase subunit 1 (CO1) gene, complete cds; tRNA-Ser and tRNA-Asp genes, complete sequence; and cytochrome oxidase subunit 2 (CO2) gene, complete cds; mitochondrial.
# marker266 cluster seed: FJ788260, description: Pan troglodytes vellerosus isolate 255 glucose-6-phosphate dehydrogenase (G6PD) gene, exons 3 through 5 and partial cds.
# marker267 cluster seed: AF183607, description: Hylobates hoolock tyrosinase gene, exon 4.
# marker268 cluster seed: AF183608, description: Hylobates hoolock tyrosinase gene, exon 5 and partial cds.
# marker269 cluster seed: AF183604, description: Hylobates hoolock tyrosinase gene, exon 1.
# marker270 cluster seed: AY221131, description: Pygathrix bieti angiogenin gene, complete cds.
# marker271 cluster seed: HM760438, description: Cercopithecus ascanius schmidti isolate CAS-1 MBD5 gene, partial sequence.
# marker272 cluster seed: AF172200, description: Ateles paniscus chemokine receptor CXCR4 (CXCR4) gene, exon 1 and partial cds.
# marker273 cluster seed: HM761690, description: Cercopithecus wolfi wolfi isolate CWW-1 FES gene, partial sequence.
# marker274 cluster seed: HM762014, description: Cercopithecus wolfi wolfi isolate CWW-1 FAM123B gene, partial sequence.
# marker275 cluster seed: HM760321, description: Galago thomasi isolate GTH-1 NEGR1 gene, partial sequence.
# marker276 cluster seed: AF183686, description: Pygathrix bieti tyrosinase gene, exon 3 and partial cds.
# marker277 cluster seed: EU057443, description: Lepilemur ruficaudatus ATP-binding cassette sub-family A (ABC1) gene, partial sequence.
# marker278 cluster seed: HM763571, description: Lophocebus aterrimus isolate LAT-2 CFTR gene, partial sequence.
# marker279 cluster seed: AY450897, description: Cercopithecus diana isolate The.Zoo.2 chromosome X intergenic region.
# marker280 cluster seed: JF489227, description: Saguinus midas midas isolate SMM2088 SINE Alu_1B_F3, partial sequence.
# marker281 cluster seed: HM758265, description: Eulemur fulvus fulvus isolate EFL-4 KDM5C gene, partial sequence.
# marker282 cluster seed: HM763515, description: Callicebus caligatus isolate CCG-1 CFTR gene, partial sequence.
# marker283 cluster seed: HM762456, description: Saguinus mystax isolate SMY-3 EDG1 gene, partial sequence.
# marker284 cluster seed: HM760538, description: Cebus xanthosternos isolate CXA-1 MBD5 gene, partial sequence.
# marker285 cluster seed: HM760274, description: Callithrix argentata argentata isolate CAR-1 NEGR1 gene, partial sequence.
# marker286 cluster seed: AY011413, description: Tarsius bancanus ATP7A (ATP7A) gene, partial cds.
# marker287 cluster seed: HM763477, description: Propithecus tattersalli isolate PTA-1 CHRNA1 gene, partial sequence.
# marker288 cluster seed: HM764701, description: Varecia variegata variegata isolate VVA-2 APP gene, partial sequence.
# marker289 cluster seed: HM759451, description: Lepilemur dorsalis isolate LDO-1 POLA1 gene, partial sequence.
# marker290 cluster seed: HM764470, description: Mirza coquereli isolate MCE-1 ATXN7 gene, partial sequence.
